country,year,CO2,GHG(Indirect CO2),GHG,HFC,CH4,NF3,N2O,PFC,SF6,HFC+PFC
Australia,1990,278265.898940768,418623.049562649,418623.049562649,1424.68352,118768.837813046,null,15345.5978582934,4607.01291909928,211.018511442384,null
Australia,1991,279741.639011863,418674.057493862,418674.057493862,1424.68352,117744.641813952,null,14923.4050205169,4610.74329393256,228.944833597368,null
Australia,1992,284766.092717838,423080.108191254,423080.108191254,1333.184,116837.506725638,null,15293.1833547565,4603.282544266,246.858848754444,null
Australia,1993,289142.267681326,423764.932564252,423764.932564252,1829.872,113837.511922865,null,15374.9934277762,3315.52837602798,264.759156257172,null
Australia,1994,293830.709141192,424092.95937256,424092.95937256,1027.34354927313,110997.410185432,null,15790.426851818,2164.42874878371,282.640896062112,null
Australia,1995,305162.543548735,433478.650825855,433478.650825855,1004.03211082861,109900.73511074,null,15578.1964076231,1530.83566492632,302.30798300106,null
Australia,1996,311914.819824229,439803.962228252,439803.962228252,414.17063782292,109185.337719811,null,16609.5867776334,1410.39505848126,269.652210274296,null
Australia,1997,320439.116819391,451721.717814666,451721.717814666,705.228318135053,111898.854748974,null,17201.8907825515,1228.1508980875,248.476247527092,null
Australia,1998,334328.142646602,466382.112471814,466382.112471814,998.289579795631,111427.929805769,null,17743.9131061779,1660.51882000668,223.318513462452,null
Australia,1999,343713.906947774,472245.9907776,472245.9907776,1374.29310959569,107889.224971323,null,17933.4397904515,1139.05875745416,196.067201001804,null
Australia,2000,349885.433108928,483445.826664823,483445.826664823,1613.2007121981,111520.30955229,null,18949.169567302,1287.06178871158,190.65193539366,null
Australia,2001,357653.329899303,491441.695937142,491441.695937142,2305.92896404507,110301.733954324,null,19182.286785683,1801.88197415979,196.53435962778,null
Australia,2002,361861.387896028,494740.100776734,494740.100776734,2926.73045682085,108309.143527509,null,19712.7323287489,1727.62315282097,202.483414806024,null
Australia,2003,368345.977425107,495154.085966803,495154.085966803,3578.35150974547,102574.207809969,null,18765.2767014156,1683.98477494731,206.28774561822,null
Australia,2004,381519.261592783,511710.242020824,511710.242020824,4266.92125360524,103839.210857312,null,20163.2401501925,1713.84870550831,207.75946142286,null
Australia,2005,385581.132806466,518850.759462375,518850.759462375,5002.48272189515,105887.562988773,null,20405.8158065194,1791.70111972472,182.064018996168,null
Australia,2006,391134.100909449,522517.191663285,522517.191663285,5456.5206707597,104842.389866471,null,20224.6064878925,687.059841760489,172.51388695254,null
Australia,2007,398816.453543549,529842.870342484,529842.870342484,6143.73477685129,105174.667801721,null,18963.1189905204,582.676819046088,162.21841079664,null
Australia,2008,404237.828214077,533693.508207377,533693.508207377,6832.22674546237,103119.546054012,null,18908.2807875882,444.516693559401,151.109712677652,null
Australia,2009,408448.47899963,537889.892623617,537889.892623617,7468.94410564859,101886.833298172,null,19607.6331429126,358.551981149097,119.451096104772,null
Australia,2010,406200.993184341,533917.43629539,533917.43629539,8166.06724391971,99447.7301587771,null,19698.2988200131,283.315234628066,121.031653711284,null
Australia,2011,403705.528313991,534089.798684709,534089.798684709,8837.85058079271,101085.537856825,null,20034.5751488136,301.304839525102,125.001944761548,null
Australia,2012,406462.8477036,537377.571452805,537377.571452805,9353.06641223694,100796.838744057,null,20342.3834778016,294.882946981773,127.552168127148,null
Australia,2013,396913.93653029,526882.667266593,526882.667266593,10034.1276237187,99857.2046257045,null,19756.4526473437,192.001235884439,128.94460365186,null
Australia,2014,393126.946994288,522397.090711347,522397.090711347,10787.3501376183,98076.1094012298,null,20084.5428336262,192.535990598746,129.605353985928,null
Austria,1990,62297.1655681668,78844.6272595357,78844.6272595357,2.43756,10598.5663608928,null,4293.06258958584,1182.78680316,470.6083777302,null
Austria,1991,65903.513308256,82636.9034660686,82636.9034660686,3.88944,10462.0961886329,null,4460.64666458185,1192.61742216,614.14044243786,null
Austria,1992,60432.2493410185,75930.9957651566,75930.9957651566,5.63648639172312,10164.7486767199,null,4161.61638288105,510.473091,656.27178714552,null
Austria,1993,60790.7577213156,75988.2270431512,75988.2270431512,235.26478656483,10073.8331987497,null,4080.8480946679,63.52011,744.00313185318,null
Austria,1994,61189.1025048542,76503.4852878471,76503.4852878471,261.105590625578,9775.85779162528,0.75852,4279.53097598147,70.956369,926.173535760612,null
Austria,1995,64202.1592201769,79813.0345359956,79813.0345359956,357.931519787086,9674.04958955657,6.43968,4388.99718320682,83.34963,1100.10771326827,null
Austria,1996,67667.2626980903,83008.8063000899,83008.8063000899,420.786112924158,9382.92563351546,7.92576,4272.75225034369,80.25417,1176.89967521624,null
Austria,1997,67455.8927304212,82474.3920310851,82474.3920310851,500.828386694405,9011.5170626983,15.52644,4286.75869314582,117.471744,1086.39697412542,null
Austria,1998,67047.2506680177,81770.8395563128,81770.8395563128,610.339231556323,8831.33145263719,9.430603636348,4347.07409116246,55.5311426684334,869.88236663436,null
Austria,1999,65660.1336422327,80106.7171759132,80106.7171759132,701.821024024025,8645.17625546572,8.236693877544,4335.79819560139,79.1829096859275,676.368455025876,null
Austria,2000,66274.7432545115,80429.3433929845,80429.3433929845,713.626554045867,8466.36607055548,10.5092,4301.70460988914,87.86564,574.528063982544,null
Austria,2001,70299.4711482287,84380.8068854374,84380.8068854374,863.101238986877,8284.30053880387,10.5092,4177.76162490381,116.337427939939,629.325706574268,null
Austria,2002,72126.5914446168,86129.5464386255,86129.5464386255,968.776915917423,8134.08033600044,10.5092,4174.31268013581,101.974977939939,613.300884015108,null
Austria,2003,78023.9538963192,92018.4811411606,92018.4811411606,1072.19181375814,8061.20581192959,21.555384,4163.74846991014,126.38302,549.44274524346,null
Austria,2004,78388.9974250799,91835.8942410282,91835.8942410282,1158.34359221291,8048.71230791888,26.5396,3571.7214627101,157.57325,484.006603106436,null
Austria,2005,79588.5018807541,92810.4871969534,92810.4871969534,1145.80966192964,7809.61517623385,28.1564,3581.49386376403,163.2852,493.62501427176,null
Austria,2006,76934.9515340371,89981.0212829735,89981.0212829735,1152.466320532,7667.62887171686,32.7316,3567.39359790372,172.3869125,453.462446283864,null
Austria,2007,74268.1107226333,87241.1545305627,87241.1545305627,1195.8903761885,7543.05254605889,59.3916,3577.37016383082,230.332465,367.006656851244,null
Austria,2008,74066.2557920763,87101.134677129,87101.134677129,1248.53225138254,7399.36170474204,53.47136,3751.8926015206,208.1864855,373.434481907496,null
Austria,2009,67682.7251493548,80190.6514378182,80190.6514378182,1308.20218572207,7294.26454612192,4.5408,3523.21806483884,36.02206,341.678631780648,null
Austria,2010,72531.826129136,84946.0197097698,84946.0197097698,1483.19074249073,7182.81642989029,4.11596,3330.1508428,78.048961,335.87064445278,null
Austria,2011,70327.1670444138,82626.6380188969,82626.6380188969,1535.80074738863,6976.4185527369,4.1022,3402.28805899567,73.51273,307.348685361924,null
Austria,2012,67698.6586349119,79897.1151021792,79897.1151021792,1612.4661425449,6855.14146713985,8.56388,3359.69048998423,50.715244,311.879243598348,null
Austria,2013,67957.1211123863,80042.5418408096,80042.5418408096,1602.59643684061,6757.49040393774,9.7524,3361.48349314328,49.22899,304.869004501608,null
